ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100,label
5407,0,-14320,-6250,-1278,-7,-263,-371,3570,1815,-1
5456,0,-15276,-5558,1536,2216,950,-241,3752,1843,-1
5506,0,-14924,-5922,-3044,-871,72,73,3856,1886,-1
5556,0,-14464,-6796,-4278,-340,294,-42,3870,1968,-1
5606,0,-14634,-6204,-2010,-217,620,-115,3957,2016,-1
5656,-1,-14090,-6902,-6256,-251,-254,56,3889,2077,-1
5706,0,-14574,-6138,-2180,323,-347,11,3972,2105,-1
5756,0,-14398,-5738,-3094,113,-1539,207,4039,2110,-1
5806,0,-14172,-6114,-2218,677,-1633,212,4091,2141,-1
5856,0,-13366,-6546,-5384,-212,-28,562,4019,2188,-1
5906,0,-15616,-2390,5444,3989,5077,533,4132,1984,-1
5956,0,-16622,-8672,538,-1605,-1250,-504,4131,2000,-1
6006,0,-21652,-8790,2880,124,1241,-906,4131,2000,-1
6056,-1,-12516,-8892,-1600,198,1834,1737,4114,2030,-1
6106,0,-10914,-7850,-4034,-5,1483,1112,4091,2058,-1
6156,0,-15414,-6184,-3808,769,303,398,4127,2070,-1
6206,0,-15144,-8570,-4282,371,512,270,4116,2086,-1
6256,0,-13684,-5540,-4304,-68,-523,50,4117,2086,-1
6306,0,-13982,-4778,-1704,-232,-1893,356,4132,2082,-1
6356,0,-12900,-4966,-1832,57,-1200,116,4141,2082,-1
6406,0,-15766,-5226,1604,804,-856,-8,4261,2045,-1
6456,0,-14838,-5728,1884,532,-1214,-96,4318,2054,-1
6506,0,-14614,-5498,3856,588,-2294,-137,4328,2047,-1
6556,0,-12850,-1032,3146,981,-983,-925,4329,2045,-1
6606,0,-15438,-5092,15680,2701,330,-808,4327,2044,-1
6656,0,-14084,-8878,-2994,3,-1106,565,4201,2214,-1
6706,0,-14450,-6630,7584,522,28,476,4184,2214,-1
6756,0,-11572,-5078,8130,986,444,-176,4158,2209,-1
6806,0,-14386,-6418,3582,312,1596,-335,4156,2230,-1
6856,0,-16604,-5284,3368,1659,-577,652,4169,2220,-1
6906,0,-13328,-2682,5278,1659,-1695,823,4175,2197,-1
6956,0,-13304,-3604,7658,1818,-2553,-209,4089,2067,-1
7006,0,-15058,-454,8722,1719,-5025,661,4084,2029,-1
7056,0,-8366,-1468,13876,1886,-4810,-1479,3614,1804,-1
7106,0,-5590,4234,14004,3782,-3570,69,3063,1299,-1
7156,0,-1894,-684,31516,1416,-2030,-2871,3058,1298,-1
7206,-1,-998,3172,7584,1381,2213,-3903,3054,1294,-1
7256,0,-10794,3146,5672,-2705,3559,160,3054,1292,-1
7306,0,-7286,3176,22524,3271,4092,-871,3051,1289,-1
7356,0,-6676,3774,14482,-1623,2080,1187,2632,898,-1
7406,0,-14182,-32,16648,125,-1094,785,2631,897,-1
7456,-1,-9106,2172,14586,345,-874,217,2599,864,-1
7506,0,-5956,3626,9450,-984,-1248,-951,2597,862,-1
