ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100
13807,0,-9754,-1904,13446,-11,1,4,-39,-14
13856,0,-9752,-1896,13474,-10,-1,2,-40,-14
13906,0,-9744,-1922,13480,-10,-2,3,-41,-13
13956,0,-9744,-1910,13480,-10,0,2,-42,-12
14006,0,-9770,-1892,13472,-8,-4,4,-42,-13
14056,0,-9762,-1904,13464,-7,-5,2,-42,-13
14106,-1,-9770,-1900,13444,-6,-5,2,-41,-13
14156,0,-9752,-1906,13468,-8,-5,4,-41,-12
14206,0,-9744,-1908,13454,-9,-3,3,-42,-12
14256,-1,-9780,-1906,13446,-10,-2,2,-40,-12
14306,-1,-9762,-1912,13472,-10,-4,3,-41,-11
14356,0,-9746,-1910,13452,-12,-1,1,-41,-11
14406,0,-9756,-1900,13460,-9,-2,5,-41,-11
14456,0,-9752,-1892,13454,-11,-1,1,-41,-12
14506,0,-9774,-1904,13460,-10,-2,3,-40,-12
14556,0,-9748,-1904,13406,-9,-1,1,-39,-11
14606,-1,-9754,-1912,13448,-8,-3,3,-39,-11
14656,-1,-9762,-1916,13460,-8,-5,3,-40,-10
14706,0,-9766,-1908,13456,-10,-4,4,-39,-10
14756,-1,-9766,-1890,13458,-9,-3,3,-39,-11
14806,0,-9750,-1904,13472,-8,-2,3,-40,-11
14856,0,-9742,-1910,13470,-9,-3,3,-41,-11
14906,0,-9778,-1894,13488,-9,-4,3,-41,-12
14956,0,-9762,-1922,13450,-8,-6,3,-41,-11
15006,0,-9746,-1918,13446,-6,-8,4,-41,-10
15056,0,-9766,-1918,13484,-5,-6,2,-41,-9
15106,0,-9760,-1890,13434,-7,-6,3,-40,-10
15156,0,-9760,-1908,13440,-8,-4,3,-40,-10
15206,-1,-9768,-1902,13446,-7,-3,3,-39,-10
15256,0,-9754,-1914,13444,-9,-4,3,-39,-10
15306,0,-9760,-1904,13440,-7,-4,1,-39,-10
15356,0,-9774,-1914,13458,-8,-4,3,-38,-10
15406,0,-9764,-1916,13452,-8,-4,2,-38,-9
15456,0,-9760,-1912,13432,-9,-4,3,-38,-9
15506,0,-9766,-1904,13452,-9,-4,4,-38,-9
15556,0,-9758,-1908,13466,-8,-2,3,-39,-9
15606,0,-9786,-1908,13466,-7,-5,3,-38,-10
15656,0,-9760,-1902,13452,-7,-5,5,-38,-10
15706,0,-9750,-1914,13442,-10,-1,2,-38,-9
15756,0,-9764,-1906,13478,-11,2,1,-39,-10
15806,-1,-9768,-1916,13410,-10,-1,3,-38,-9
15856,0,-9770,-1906,13460,-11,-1,3,-38,-9
15906,0,-9752,-1908,13458,-12,1,3,-38,-9
15956,0,-9756,-1910,13468,-11,1,2,-39,-9
16006,-1,-9760,-1914,13450,-11,0,2,-39,-9
16056,0,-9758,-1916,13434,-10,0,2,-39,-9
16106,0,-9778,-1920,13478,-10,0,1,-39,-8
16156,0,-9760,-1918,13454,-9,-3,3,-39,-8
16206,0,-9764,-1908,13468,-9,-3,4,-39,-8
16256,0,-9784,-1908,13486,-9,-2,3,-39,-9
16306,0,-9762,-1904,13442,-10,-1,3,-39,-9
16356,0,-9758,-1902,13456,-9,-2,1,-39,-9
16406,0,-9756,-1922,13436,-9,-3,5,-39,-9
16456,0,-9766,-1908,13444,-9,-1,4,-38,-9
16506,-1,-9778,-1922,13456,-6,-4,5,-38,-8
16556,0,-9782,-1916,13442,-5,-6,3,-37,-8
16606,0,-9786,-1936,13428,-6,-7,3,-35,-7
16656,0,-9790,-1910,13472,-7,-6,2,-35,-7
16706,0,-9758,-1920,13456,-6,-8,3,-36,-7
16756,0,-9778,-1894,13470,-7,-7,4,-36,-8
16806,0,-9776,-1914,13436,-7,-6,3,-36,-8
16856,0,-9770,-1914,13472,-7,-3,3,-36,-8
16906,-1,-9770,-1904,13432,-4,-8,3,-36,-9
16956,0,-9786,-1900,13434,-8,-8,4,-35,-9
17006,0,-9750,-1904,13460,-8,-5,3,-36,-9
17056,0,-9766,-1898,13440,-8,-4,3,-36,-10
17106,0,-9762,-1922,13452,-9,-3,3,-36,-9
17156,0,-9778,-1936,13466,-8,-3,4,-36,-8
17206,0,-9756,-1914,13460,-10,-3,3,-37,-8
17256,-1,-9782,-1910,13442,-9,-3,3,-36,-8
17306,0,-9762,-1918,13458,-10,-1,0,-37,-8
17356,0,-9772,-1920,13448,-9,-3,3,-37,-7
17406,0,-9764,-1924,13434,-10,-1,2,-36,-7
17456,0,-9774,-1918,13448,-10,0,3,-36,-7
17506,-1,-9778,-1916,13448,-9,-2,2,-36,-7
17556,0,-9780,-1926,13436,-9,-2,2,-35,-6
17606,0,-9750,-1924,13426,-10,-5,4,-35,-6
17656,0,-9784,-1922,13452,-10,-3,2,-35,-6
17706,0,-9766,-1910,13430,-9,2,2,-35,-6
17756,0,-9762,-1922,13414,-9,-3,2,-34,-6
17806,0,-9778,-1922,13456,-8,-4,4,-34,-6
17856,0,-9768,-1902,13472,-8,-6,3,-35,-7
17906,0,-9756,-1914,13448,-9,-3,1,-36,-7
17956,0,-9764,-1926,13450,-9,-2,1,-36,-6
18006,0,-9784,-1904,13432,-8,0,1,-35,-7
18056,0,-9766,-1920,13452,-9,-1,2,-35,-7
18106,-1,-9776,-1926,13450,-9,-3,3,-35,-6
18156,0,-9762,-1918,13456,-8,-2,1,-36,-6
18206,-1,-9784,-1918,13452,-8,-2,2,-35,-6
18256,0,-9782,-1910,13456,-7,-2,2,-35,-7
18306,0,-9786,-1928,13462,-6,-4,2,-35,-6
18356,0,-9800,-1946,13440,-10,4,-1,-34,-5
18406,-1,-9798,-1924,13452,-9,-2,1,-33,-5
18456,0,-9786,-1940,13408,-8,-8,-1,-32,-4
18506,-1,-9780,-1936,13434,-9,-3,3,-32,-3
18556,0,-9776,-1938,13446,-10,2,3,-32,-3
18606,0,-9794,-1924,13432,-9,1,4,-31,-3
18656,0,-9796,-1948,13454,-9,-1,2,-31,-2
18706,0,-9798,-1926,13448,-8,1,4,-31,-2
18756,0,-9792,-1912,13450,-8,1,2,-30,-3
18806,0,-9794,-1926,13436,-10,-6,2,-30,-3
18856,0,-9798,-1930,13444,-10,-3,2,-30,-3
18906,-1,-9786,-1940,13428,-10,2,-1,-29,-3
18956,0,-9798,-1930,13420,-11,3,0,-28,-2
19007,0,-9806,-1932,13414,-9,3,-1,-27,-2
19056,0,-9804,-1946,13412,-11,-2,2,-26,-1
19106,0,-9796,-1942,13410,-10,-6,1,-25,-1
19156,0,-9788,-1944,13444,-13,3,-2,-26,0
19206,0,-9810,-1948,13382,-11,1,2,-24,0
19256,0,-9792,-1952,13396,-10,1,4,-23,0
19306,0,-9808,-1934,13410,-10,-2,2,-23,0
19356,-1,-9800,-1948,13474,-8,-3,2,-24,0
19406,0,-9794,-1952,13426,-9,-3,2,-25,1
19456,0,-9794,-1954,13410,-10,-2,3,-24,2
19506,0,-9804,-1934,13382,-11,0,2,-23,1
