ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100
5407,0,-14320,-6250,-1278,-7,-263,-371,3570,1815
5456,0,-15276,-5558,1536,2216,950,-241,3752,1843
5506,0,-14924,-5922,-3044,-871,72,73,3856,1886
5556,0,-14464,-6796,-4278,-340,294,-42,3870,1968
5606,0,-14634,-6204,-2010,-217,620,-115,3957,2016
5656,-1,-14090,-6902,-6256,-251,-254,56,3889,2077
5706,0,-14574,-6138,-2180,323,-347,11,3972,2105
5756,0,-14398,-5738,-3094,113,-1539,207,4039,2110
5806,0,-14172,-6114,-2218,677,-1633,212,4091,2141
5856,0,-13366,-6546,-5384,-212,-28,562,4019,2188
5906,0,-15616,-2390,5444,3989,5077,533,4132,1984
5956,0,-16622,-8672,538,-1605,-1250,-504,4131,2000
6006,0,-21652,-8790,2880,124,1241,-906,4131,2000
6056,-1,-12516,-8892,-1600,198,1834,1737,4114,2030
6106,0,-10914,-7850,-4034,-5,1483,1112,4091,2058
6156,0,-15414,-6184,-3808,769,303,398,4127,2070
6206,0,-15144,-8570,-4282,371,512,270,4116,2086
6256,0,-13684,-5540,-4304,-68,-523,50,4117,2086
6306,0,-13982,-4778,-1704,-232,-1893,356,4132,2082
6356,0,-12900,-4966,-1832,57,-1200,116,4141,2082
6406,0,-15766,-5226,1604,804,-856,-8,4261,2045
6456,0,-14838,-5728,1884,532,-1214,-96,4318,2054
6506,0,-14614,-5498,3856,588,-2294,-137,4328,2047
6556,0,-12850,-1032,3146,981,-983,-925,4329,2045
6606,0,-15438,-5092,15680,2701,330,-808,4327,2044
6656,0,-14084,-8878,-2994,3,-1106,565,4201,2214
6706,0,-14450,-6630,7584,522,28,476,4184,2214
6756,0,-11572,-5078,8130,986,444,-176,4158,2209
6806,0,-14386,-6418,3582,312,1596,-335,4156,2230
6856,0,-16604,-5284,3368,1659,-577,652,4169,2220
6906,0,-13328,-2682,5278,1659,-1695,823,4175,2197
6956,0,-13304,-3604,7658,1818,-2553,-209,4089,2067
7006,0,-15058,-454,8722,1719,-5025,661,4084,2029
7056,0,-8366,-1468,13876,1886,-4810,-1479,3614,1804
7106,0,-5590,4234,14004,3782,-3570,69,3063,1299
7156,0,-1894,-684,31516,1416,-2030,-2871,3058,1298
7206,-1,-998,3172,7584,1381,2213,-3903,3054,1294
7256,0,-10794,3146,5672,-2705,3559,160,3054,1292
7306,0,-7286,3176,22524,3271,4092,-871,3051,1289
7356,0,-6676,3774,14482,-1623,2080,1187,2632,898
7406,0,-14182,-32,16648,125,-1094,785,2631,897
7456,-1,-9106,2172,14586,345,-874,217,2599,864
7506,0,-5956,3626,9450,-984,-1248,-951,2597,862
7556,0,-7506,4710,16240,1278,-2849,-457,2550,815
7606,0,-6568,5578,18526,-734,243,-560,2547,813
7656,0,-5720,3496,16620,-983,-274,-205,2491,774
7706,0,-5464,1872,16930,-1497,-419,-1043,2433,747
7756,0,-2552,-546,18110,-2750,786,400,2358,736
7806,0,-7250,-810,2892,-6294,-938,729,2360,735
7856,-1,-2218,-1516,9054,1421,4714,-694,2357,736
7906,0,-226,588,11614,-2078,-2127,1332,2352,735
7956,0,-7140,3140,14664,3651,688,1842,2059,462
8006,-1,-2894,2798,19998,2658,-2878,551,2056,461
8056,0,-5886,3894,22120,82,-407,-242,2053,460
8106,0,-2192,-4550,12524,-4373,1898,690,2050,461
8156,0,-6220,-6644,12360,1897,738,367,2014,503
8206,0,934,3196,16146,583,2922,-1673,1341,261
8256,0,-4086,1172,19318,-122,-1142,-87,1338,261
8306,0,-4212,3176,25742,615,939,366,1336,260
8356,0,-3904,-1278,15394,-139,-243,268,1026,291
8406,0,-3152,238,15502,1,-121,-55,722,236
8456,0,-2546,52,16972,-127,-114,-42,420,199
8506,0,-2856,-5256,3552,644,-4719,579,419,204
8556,0,-36,208,18042,-561,251,-351,368,198
8606,1,-2142,-1128,19428,432,88,820,366,199
8656,1,-1630,-2710,13500,108,106,-8,365,199
8706,216,-842,-80,17896,129,377,-53,320,196
8756,563,-760,-2398,18538,-24,-236,-58,275,207
8806,840,-1414,-986,18366,36,-110,55,235,209
8856,422,-1850,-1872,19396,391,324,160,234,210
8906,1,-1084,730,18006,291,597,-642,193,201
8956,2,-4684,-2822,13480,-155,-64,-63,184,219
9007,147,-616,-234,19242,79,-992,-42,181,219
9056,612,-1086,-2232,17206,221,-216,158,142,230
9106,572,-152,472,17024,359,-59,257,-193,173
9156,454,-444,1290,16076,-86,-5,-98,-462,79
9206,503,-754,-200,16944,46,-9,-117,-677,79
9256,1531,-1216,-322,17290,-70,425,-166,-698,79
9306,6780,-1072,-538,18152,79,-374,-120,-720,81
9356,11658,-1106,-1630,16526,110,-340,-134,-877,155
9406,15229,-556,-580,16740,423,-828,-36,-1039,162
9456,17001,1888,284,17788,615,-528,-63,-1074,158
9506,18239,624,1354,17650,602,-60,-158,-1099,146
9556,19317,1046,2070,17712,841,-10,-103,-1127,130
9606,20133,610,2322,17902,861,-168,-66,-1151,113
9656,20652,1616,3204,17966,1068,-172,-67,-1181,90
9706,21081,642,5034,17712,944,362,-293,-1204,57
9756,21325,352,5280,17664,1201,222,-341,-1225,23
9806,21745,-1226,4234,18536,2253,-208,-274,-1226,21
9856,22231,1208,10130,15056,3325,-873,-73,-1252,-46
9906,22663,1506,10476,14656,3877,-510,-379,-1280,-115
9956,22888,858,10666,10674,1534,94,-375,-1303,-203
10006,22922,814,12008,9936,441,394,-124,-1475,-925
10056,22793,472,12968,13576,724,531,-147,-1491,-994
10106,22780,-1128,14280,10780,796,806,-650,-1497,-1080
10156,22526,-292,14572,10676,1975,86,-426,-1508,-1165
10206,23006,-1128,11580,-21478,6949,435,-1179,-1509,-1167
10256,23107,-2800,15750,3210,1742,327,-737,-1456,-2114
10306,23115,-3756,14038,2878,1821,41,-40,-1441,-2214
10356,23178,-1176,15290,-52,1775,420,-214,-1446,-2341
10406,23310,-4614,14478,-1514,1935,445,-578,-1425,-2436
10456,23375,-2736,15410,-3756,1698,465,-594,-1386,-3168
10506,23378,-3958,15204,-6936,1443,404,-800,-1301,-3626
10556,23416,-5218,13566,-6644,1207,306,-425,-1142,-3952
10606,23432,-4736,12724,-6992,854,239,-456,-1126,-3985
10656,23454,-4178,12238,-9654,349,184,-352,-1054,-4126
10706,23495,-5664,11580,-8026,205,48,-40,-1032,-4143
10756,23438,-4666,12840,-8722,-326,49,-77,-948,-4306
10806,23319,-5090,12232,-9150,-502,-111,116,-852,-4400
10856,23086,-5504,13932,-7456,-1168,-218,107,-758,-4584
10906,22750,-4098,12714,-7402,-1221,-361,193,-755,-4605
10956,22341,-5942,13434,-5480,-1801,-109,159,-629,-4797
11006,21956,-4386,14694,-2714,-1947,-385,431,-612,-5136
11056,21571,-4456,15170,-1902,-2231,-260,369,-598,-5449
11106,21154,-2856,15576,54,-1998,-240,559,-675,-5824
11156,20840,-4012,15680,3290,-1921,-121,186,-685,-6025
11206,20498,-3206,15586,3838,-1392,-287,342,-735,-6203
11256,20250,-3554,15502,6234,-1466,-253,194,-766,-6248
11306,20057,-2510,15524,5926,-1019,-344,314,-845,-6322
11356,19994,-2544,15050,7254,-924,-209,265,-910,-6316
11406,19706,-1774,15106,6530,-811,-121,283,-1004,-6356
11456,19024,-2290,13514,8838,-1077,-66,117,-1054,-6240
11506,17114,-1536,13682,7974,-1179,-15,13,-1135,-6193
11556,15700,-2446,11900,10432,-1372,10,67,-1155,-5982
11606,14382,-1536,11958,9820,-1656,31,222,-1163,-5963
11656,13989,-1554,11544,12418,-1232,72,166,-1232,-5708
11706,14134,-1652,11274,12290,-915,-38,175,-1285,-5484
11756,13832,-1078,11490,12378,-1270,42,158,-1359,-5302
11806,13010,-1592,8456,13964,-1240,-11,170,-1394,-4971
11856,11717,-594,9692,13888,-1347,177,-12,-1477,-4747
11906,9389,-2008,6578,14808,-1210,168,-83,-1471,-4390
11956,8528,-1636,6948,14308,-1008,-82,170,-1485,-4116
12006,8028,-1646,5228,17240,-634,-189,192,-1488,-4067
12056,7402,-734,5996,17610,-663,-155,74,-1496,-4023
12106,6514,-1774,4080,15558,-1313,-104,83,-1499,-3638
12156,5508,-784,4496,17216,-756,-125,103,-1507,-3594
12206,5652,-1274,3582,17610,-594,-109,51,-1512,-3545
12256,5405,-354,3874,17382,-447,-114,-16,-1522,-3499
12306,4822,-750,2390,17488,-652,-48,-48,-1530,-3444
12356,4928,-792,2468,18160,-534,124,-117,-1538,-3391
12406,4926,-1390,1304,17732,-206,59,-18,-1541,-3331
12456,4973,-940,1038,15286,-37,-122,64,-1546,-3272
12506,5611,-836,1448,16892,20,-64,25,-1594,-2853
12556,5831,-1014,1436,16810,-12,-11,8,-1625,-2497
12606,5376,-656,1442,16864,-66,-46,23,-1670,-2194
12656,4858,-654,1456,16780,-56,16,-38,-1708,-1938
12706,4581,-820,1446,16854,-24,20,-28,-1733,-1720
12756,4565,-880,1232,16922,-64,8,-2,-1750,-1523
12806,4220,-848,942,16476,-76,-18,27,-1766,-1342
12856,4216,-864,1320,16868,-23,4,-7,-1779,-1206
12906,3999,-756,1332,16774,-51,7,12,-1796,-1092
12956,3961,-872,1078,16694,-65,14,4,-1804,-982
13006,4008,-1040,992,16750,-26,12,1,-1802,-884
13056,3899,-724,1126,16714,-28,-4,9,-1817,-808
13106,3964,-920,1024,16722,-6,-15,3,-1819,-738
13156,4101,-832,1058,16784,-11,-23,9,-1826,-680
13206,4193,-840,1074,16732,-6,-24,24,-1831,-632
13256,4293,-846,1038,16814,-4,-23,11,-1835,-588
13306,4290,-800,1140,16798,-19,-23,17,-1841,-557
13356,4271,-762,1024,16750,-15,-17,21,-1848,-524
13406,4205,-850,984,16762,-11,28,9,-1850,-495
13456,4288,-714,1100,16734,-15,0,13,-1858,-476
13506,4325,-854,960,16728,-1,-6,11,-1857,-452
13556,4469,-800,1052,16824,-16,-6,10,-1860,-436
13606,4483,-800,1098,16644,-11,-14,14,-1862,-426
13656,4597,-752,992,16820,-3,-9,11,-1866,-411
13706,4999,-738,972,16522,188,-151,50,-1870,-399
13756,6966,-664,1142,16710,463,-356,54,-1878,-396
13806,11071,-264,1694,16736,1051,-473,-38,-1905,-422
13856,15923,332,3336,17740,1145,-313,-11,-1912,-435
13906,18829,652,4390,17392,1095,70,-149,-1921,-454
13956,19968,808,5382,16648,1090,233,-250,-1930,-481
14006,20960,-232,4416,16700,1648,-190,-63,-1933,-501
14056,22064,-46,7936,14974,1323,-259,-150,-1963,-843
14106,22511,854,8054,14894,1316,-352,-73,-2034,-1141
14156,22862,1080,9844,14128,1144,-18,-255,-2043,-1187
14206,23066,284,10624,13780,1444,-31,-284,-2047,-1239
14256,23262,42,11250,13376,2098,4,-327,-2050,-1294
14306,23489,-1972,11888,12682,1672,230,-483,-2039,-1353
14356,23510,802,14556,8682,1839,2,-366,-2095,-2035
14406,23588,-2596,12426,10390,1920,243,-416,-1967,-2467
14456,23623,-2152,15480,6074,1371,309,-530,-1883,-3107
14506,23627,-1622,15822,5346,1162,15,-178,-1840,-3698
14556,23644,-2196,14514,7230,1155,239,-321,-1770,-4079
14606,23546,-336,16638,3396,940,394,-559,-1810,-4642
14656,23460,-3204,15110,3882,1444,430,-573,-1686,-5018
14706,23344,-3304,15104,3492,1178,364,-505,-1575,-5349
14756,23329,-5502,15102,684,1430,218,-421,-1361,-5593
14806,23345,-3896,15610,-1680,1305,335,-360,-1270,-5875
14856,23313,-4038,15468,-422,1241,340,-255,-1182,-6121
14906,23234,-4272,15558,-2410,1060,444,-378,-1099,-6289
14956,23147,-5408,13444,-3460,1437,548,-482,-1077,-6292
15006,22964,-5284,14344,-3052,1270,630,-553,-941,-6351
15056,22975,-5486,13466,-6848,1280,448,-419,-822,-6251
15106,22919,-4700,12858,-6432,1195,427,-287,-813,-6242
15156,22885,-7224,12208,-7826,981,322,-333,-616,-6038
15206,22823,-4202,12788,-8408,1197,377,-229,-615,-5936
15256,22868,-6402,10738,-10076,757,195,-153,-492,-5674
15306,23001,-5860,10794,-12278,308,38,-42,-486,-5637
15356,22977,-5620,11074,-10572,-198,-117,39,-433,-5432
15406,22843,-5318,11612,-10356,-513,-98,46,-407,-5290
15456,22750,-5730,11282,-9962,-595,-53,-86,-355,-5162
