ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100
19307,0,-4782,886,16218,19,-2,13,-1928,-959
19356,0,-4822,910,16064,2,-21,2,-1927,-960
19406,0,-5018,896,16044,-4,1,-1,-1917,-959
19456,0,-4830,922,16120,-12,30,18,-1918,-961
19506,0,-4612,980,16098,-33,-22,30,-1930,-965
19556,0,-4590,1048,15970,-63,30,-28,-1939,-972
19606,0,-4660,910,16338,-85,4,-27,-1948,-970
19656,0,-5174,472,15616,-84,59,-19,-1920,-947
19706,-1,-4462,1152,16902,-108,124,-31,-1923,-949
19756,0,-5568,34,15544,-134,-88,4,-1878,-906
19806,-1,-5198,404,15524,-34,244,-27,-1857,-890
19856,0,-4600,1188,16796,-29,-21,18,-1861,-893
19906,0,-5198,-56,15306,-73,-54,22,-1839,-854
19956,0,-4288,992,16256,46,320,-57,-1881,-874
20006,0,-5168,262,16462,-234,-350,13,-1880,-872
20056,0,-4980,460,15408,-84,475,-67,-1868,-863
20106,0,-6518,-262,15784,-147,-114,110,-1790,-819
20156,0,-5718,-70,16522,-2,223,13,-1788,-815
20206,-1,-4294,462,15740,-52,-333,90,-1829,-815
20256,0,-5536,-252,15272,-2,106,-3,-1795,-777
20306,0,-5030,254,17236,42,-62,38,-1798,-776
20356,0,-6528,-29
