ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100
11113,0,3572,-592,16392,-23,24,21,-1258,1
11158,0,3488,-680,16466,-35,32,38,-1254,2
11208,0,3546,-752,16482,-29,41,47,-1252,7
11258,0,3622,-644,16448,-34,65,59,-1255,6
11308,0,3570,-694,16504,-45,87,71,-1255,7
11358,0,3452,-906,16434,-69,128,91,-1249,19
11408,0,3230,-868,16412,-67,137,100,-1233,27
11458,0,2850,-940,16564,-53,117,94,-1199,38
11508,0,3278,-578,16484,-69,134,93,-1193,28
11558,0,2866,-1090,16494,-89,155,98,-1166,47
11608,0,2830,-1278,16684,-68,155,98,-1140,7[sd:dump:end]
