ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100,tx,ty,label,fsr_slope
8706,216,-842,-80,17896,129,377,-53,320,196,3.2,1.96,0,3.1278195488721803
8756,563,-760,-2398,18538,-24,-236,-58,275,207,2.75,2.07,0,10.845864661654135
8806,840,-1414,-986,18366,36,-110,55,235,209,2.35,2.09,0,21.674436090225562
8856,422,-1850,-1872,19396,391,324,160,234,210,2.34,2.1,0,25.25263157894737
8906,1,-1084,730,18006,291,597,-642,193,201,1.93,2.01,0,22.19624060150376
8956,2,-4684,-2822,13480,-155,-64,-63,184,219,1.84,2.19,0,19.152631578947368
9007,147,-616,-234,19242,79,-992,-42,181,219,1.81,2.19,0,18.161654135338345
9056,612,-1086,-2232,17206,221,-216,158,142,230,1.42,2.3,0,23.606766917293232
9106,572,-152,472,17024,359,-59,257,-193,173,-1.93,1.73,0,27.56015037593985
9156,454,-444,1290,16076,-86,-5,-98,-462,79,-4.62,0.79,0,28.967669172932332
9206,503,-754,-200,16944,46,-9,-117,-677,79,-6.77,0.79,0,30.39248120300752
9256,1531,-1216,-322,17290,-70,425,-166,-698,79,-6.98,0.79,0,45.74661654135338
9306,6780,-1072,-538,18152,79,-374,-120,-720,81,-7.2,0.81,-1,133.7842105263158
9356,11658,-1106,-1630,16526,110,-340,-134,-877,155,-8.77,1.55,-1,281.312030075188
9406,15229,-556,-580,16740,423,-828,-36,-1039,162,-10.39,1.62,1,462.3233082706767
9456,17001,1888,284,17788,615,-528,-63,-1074,158,-10.74,1.58,1,645.7481203007519
9506,18239,624,1354,17650,602,-60,-158,-1099,146,-10.99,1.46,1,821.2932330827068
9556,19317,1046,2070,17712,841,-10,-103,-1127,130,-11.27,1.3,1,984.8112781954887
9606,20133,610,2322,17902,861,-168,-66,-1151,113,-11.51,1.13,1,1130.9541353383458
9656,20652,1616,3204,17966,1068,-172,-67,-1181,90,-11.81,0.9,1,1254.2375939849624
9706,21081,642,5034,17712,944,362,-293,-1204,57,-12.04,0.57,1,1355.9902255639097
9756,21325,352,5280,17664,1201,222,-341,-1225,23,-12.25,0.23,1,1435.3315789473684
9806,21745,-1226,4234,18536,2253,-208,-274,-1226,21,-12.26,0.21,1,1493.8255639097745
9856,22231,1208,10130,15056,3325,-873,-73,-1252,-46,-12.52,-0.46,1,1521.2263157894736
9906,22663,1506,10476,14656,3877,-510,-379,-1280,-115,-12.8,-1.15,1,1515.3556390977444
9956,22888,858,10666,10674,1534,94,-375,-1303,-203,-13.03,-2.03,1,1478.6368421052632
10006,22922,814,12008,9936,441,394,-124,-1475,-925,-14.75,-9.25,1,1410.2781954887218
10056,22793,472,12968,13576,724,531,-147,-1491,-994,-14.91,-9.94,1,1313.1706766917293
10106,22780,-1128,14280,10780,796,806,-650,-1497,-1080,-14.97,-10.8,1,1181.890977443609
10156,22526,-292,14572,10676,1975,86,-426,-1508,-1165,-15.08,-11.65,1,1011.724060150376
10206,23006,-1128,11580,-21478,6949,435,-1179,-1509,-1167,-15.09,-11.67,1,815.996992481203
10256,23107,-2800,15750,3210,1742,327,-737,-1456,-2114,-14.56,-21.14,1,604.1052631578947
10306,23115,-3756,14038,2878,1821,41,-40,-1441,-2214,-14.41,-22.14,1,442.76165413533835
10356,23178,-1176,15290,-52,1775,420,-214,-1446,-2341,-14.46,-23.41,1,334.7751879699248
10406,23310,-4614,14478,-1514,1935,445,-578,-1425,-2436,-14.25,-24.36,1,267.73533834586465
10456,23375,-2736,15410,-3756,1698,465,-594,-1386,-3168,-13.86,-31.68,1,217.45112781954887
10506,23378,-3958,15204,-6936,1443,404,-800,-1301,-3626,-13.01,-36.26,1,177.17218045112782
10556,23416,-5218,13566,-6644,1207,306,-425,-1142,-3952,-11.42,-39.52,1,146.72932330827066
10606,23432,-4736,12724,-6992,854,239,-456,-1126,-3985,-11.26,-39.85,1,123.23533834586466
10656,23454,-4178,12238,-9654,349,184,-352,-1054,-4126,-10.54,-41.26,1,103.28947368421052
10706,23495,-5664,11580,-8026,205,48,-40,-1032,-4143,-10.32,-41.43,-1,86.48947368421052
