ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100
9206,2961,496,-2776,16008,-90.0,298.0,-51.0,599.0,487.0
9256,4483,1162,-3030,16610,-116.0,713.0,-70.0,593.0,516.0
9306,5378,688,-1344,16854,-194.0,234.0,13.0,612.0,454.0
9356,8303,514,-2564,15952,133.0,-188.0,-21.0,636.0,471.0
9406,11254,736,-2240,16420,249.0,-386.0,188.0,645.0,464.0
9456,13561,1536,-2032,16578,337.0,-194.0,108.0,612.0,446.0
9506,15485,1776,-2488,17084,80.0,141.0,-53.0,607.0,447.0
9556,16476,1716,-1034,16204,22.0,302.0,-71.0,569.0,382.0
9606,17365,1282,-2010,16808,-6.0,146.0,-129.0,561.0,374.0
9656,17998,626,-2256,16290,11.0,163.0,-122.0,587.0,383.0
9706,18899,486,-2260,16644,111.0,-3.0,16.0,617.0,389.0
9756,19109,602,-1168,16668,-172.0,117.0,10.0,636.0,339.0
9806,19313,22,-1868,16310,-129.0,90.0,20.0,683.0,333.0
9856,19752,190,-2394,16350,-115.0,45.0,68.0,713.0,356.0
9906,20149,576,-2114,16786,-180.0,281.0,75.0,720.0,357.0
9956,20490,-350,-2308,16726,-100.0,111.0,105.0,772.0,369.0
10006,20839,192,-2518,16266,36.0,-104.0,113.0,789.0,393.0
10056,21173,376,-2146,16420,174.0,-165.0,6.0,794.0,393.0
10106,21430,-108,-2066,16452,83.0,-73.0,71.0,824.0,389.0
10156,21531,340,-2362,16598,-36.0,14.0,90.0,825.0,400.0
10206,21571,490,-2252,16514,-55.0,62.0,107.0,819.0,404.0
10256,21469,678,-2460,16660,-109.0,103.0,131.0,805.0,417.0
10306,21658,720,-3174,16772,96.0,-39.0,88.0,791.0,462.0
10356,21875,288,-2108,16966,173.0,70.0,133.0,800.0,447.0
10406,22024,154,-2640,16502,312.0,43.0,88.0,815.0,463.0
10456,22079,170,-2370,16634,409.0,208.0,185.0,827.0,463.0
10506,22124,136,-1174,18078,676.0,190.0,185.0,829.0,454.0
10556,22213,-404,-966,18158,956.0,425.0,145.0,834.0,444.0
10606,22326,-1672,432,18672,1102.0,782.0,67.0,846.0,426.0
10656,22400,-2036,2642,18612,1357.0,1107.0,44.0,847.0,424.0
10706,22495,-3140,2450,17860,1523.0,1209.0,22.0,869.0,393.0
10756,22564,-4756,3700,16740,1611.0,1415.0,64.0,902.0,354.0
10806,22582,-3664,6484,16088,1912.0,1231.0,183.0,926.0,297.0
10856,22598,-6568,4712,14574,1935.0,1265.0,160.0,1278.0,-45.0
10906,22573,-6116,6882,12370,1911.0,1338.0,174.0,1319.0,-104.0
10956,22553,-6390,8770,10224,1661.0,1337.0,223.0,1362.0,-181.0
11006,22523,-6992,8228,9630,1454.0,1148.0,95.0,1412.0,-254.0
11056,22495,-7584,9322,8222,1018.0,1103.0,9.0,1465.0,-335.0
11106,22478,-8314,10408,6966,677.0,1047.0,43.0,1522.0,-423.0
11156,22541,-9134,10356,6214,486.0,734.0,59.0,1585.0,-508.0
11206,22565,-9228,10924,5454,498.0,522.0,-4.0,1647.0,-596.0
11256,22621,-9840,11522,5022,383.0,443.0,71.0,2113.0,-1252.0
11306,22649,-10550,12232,4760,400.0,360.0,-13.0,2521.0,-1815.0
11356,22787,-10496,12298,4018,279.0,331.0,-7.0,2871.0,-2309.0
11406,22872,-9542,12482,3948,83.0,263.0,24.0,3125.0,-2771.0
11456,22849,-9658,12096,4490,108.0,-67.0,28.0,3351.0,-3137.0
11506,22864,-10158,11412,4486,12.0,-81.0,52.0,3586.0,-3406.0
11556,22880,-9822,12180,4412,37.0,-60.0,18.0,3748.0,-3675.0
11606,22902,-9800,12256,4638,119.0,-84.0,2.0,3881.0,-3904.0
11656,22967,-10660,12112,4348,7.0,-52.0,11.0,4036.0,-4067.0
11706,22993,-10554,12362,4328,43.0,-86.0,11.0,4156.0,-4219.0
11756,22997,-10372,12234,4330,9.0,-20.0,12.0,4255.0,-4350.0
11806,23026,-10658,11884,4330,-4.0,-40.0,-37.0,4362.0,-4439.0
11856,23026,-10062,12054,4662,-15.0,-63.0,-48.0,4419.0,-4536.0
11906,23051,-10038,11742,4856,-27.0,-114.0,-23.0,4473.0,-4605.0
11956,23118,-10386,11698,4910,-72.0,-114.0,14.0,4535.0,-4650.0
12006,23126,-9822,12002,4676,-37.0,-52.0,58.0,4557.0,-4722.0
12056,23125,-9388,12032,4968,14.0,-54.0,11.0,4554.0,-4794.0
12106,23140,-10230,11752,5214,27.0,-168.0,47.0,4591.0,-4813.0
12156,23137,-10744,11574,4698,-78.0,-22.0,22.0,4656.0,-4812.0
12206,23141,-9504,12436,5106,-95.0,41.0,-12.0,4629.0,-4879.0
12256,23133,-10240,11888,5406,7.0,-78.0,47.0,4649.0,-4886.0
12306,23139,-10834,11548,5102,-77.0,-24.0,-9.0,4704.0,-4865.0
12356,23132,-9610,12126,5364,-57.0,-38.0,-7.0,4680.0,-4904.0
12406,23116,-10422,11638,5444,-73.0,-64.0,-29.0,4707.0,-4891.0
12456,23095,-10220,12042,5124,-198.0,-43.0,-53.0,4713.0,-4907.0
12506,22983,-10686,12748,4572,-417.0,-188.0,-218.0,4715.0,-4911.0
12556,22865,-10690,11896,6044,-368.0,-339.0,-231.0,4731.0,-4888.0
12606,22692,-10042,12380,6712,-476.0,-574.0,-209.0,4726.0,-4889.0
12656,22344,-10840,11618,6088,-731.0,-716.0,-222.0,4754.0,-4854.0
12706,21894,-11504,9238,7422,-890.0,-948.0,-288.0,4846.0,-4688.0
12756,21546,-8946,10228,9396,-1114.0,-826.0,-209.0,4754.0,-4611.0
12806,21010,-8368,8980,10500,-1116.0,-1222.0,-79.0,4651.0,-4479.0
12856,20586,-8236,6678,10406,-1072.0,-1326.0,-34.0,4645.0,-4449.0
12906,19637,-7128,4460,11762,-1441.0,-1269.0,-340.0,4630.0,-4403.0
12956,17095,-5966,5918,11436,-1558.0,-1234.0,2.0,4606.0,-4371.0
13006,14067,-4984,2184,13618,-2160.0,-530.0,272.0,4573.0,-4308.0
13056,11427,-6186,2810,13146,-1507.0,-1164.0,301.0,4550.0,-4251.0
13106,8855,-4260,432,15230,-1710.0,-1189.0,-26.0,4244.0,-3689.0
13156,5269,-2864,524,15226,-1241.0,-1138.0,-42.0,4200.0,-3626.0
13206,3635,-2684,-216,16660,-1606.0,-871.0,0.0,3850.0,-3124.0
13256,2508,-1714,-2562,16304,-1131.0,-1029.0,-27.0,3504.0,-2574.0
13306,2097,-1202,-2434,16598,-1296.0,-891.0,64.0,3183.0,-2116.0
13356,1677,-826,-4362,15704,-1064.0,-722.0,-133.0,2892.0,-1618.0
13406,1452,-456,-4736,16660,-824.0,-588.0,-111.0,2856.0,-1561.0
13456,1501,208,-4972,17140,-591.0,-555.0,-42.0,2817.0,-1504.0
13506,1437,886,-6014,17746,-517.0,-335.0,117.0,2774.0,-1444.0
13556,2092,846,-5692,17612,-397.0,-196.0,78.0,2732.0,-1386.0
13606,2184,566,-6092,16352,-245.0,11.0,84.0,2693.0,-1325.0
13656,1875,684,-6256,15018,-33.0,-208.0,15.0,2396.0,-839.0
13706,1524,1242,-6452,15386,425.0,-308.0,-16.0,2115.0,-426.0
13756,1647,1328,-5062,15126,588.0,-223.0,-11.0,1870.0,-138.0
13806,1754,2084,-5188,16756,456.0,40.0,7.0,1838.0,-108.0
13856,2087,1270,-5124,16982,198.0,238.0,-29.0,1812.0,-79.0
13906,2018,816,-4548,16786,106.0,166.0,-39.0,1789.0,-54.0
13956,1879,804,-4406,15738,122.0,96.0,-19.0,1621.0,135.0
14006,1717,1176,-4450,15850,260.0,88.0,-13.0,1460.0,297.0
14056,1535,1124,-4248,16522,333.0,132.0,-43.0,1327.0,416.0
14106,1771,298,-4148,16862,264.0,177.0,-3.0,1318.0,428.0
14156,1578,370,-4138,16442,247.0,31.0,33.0,1244.0,523.0
14206,1258,972,-3518,16484,192.0,-15.0,54.0,1151.0,572.0
14256,1121,932,-3258,16388,120.0,5.0,44.0,1073.0,602.0
14306,1259,952,-3278,16500,36.0,29.0,18.0,1006.0,628.0
14356,1445,562,-3358,16410,3.0,49.0,4.0,969.0,655.0
14406,1711,502,-3362,16404,-4.0,21.0,5.0,941.0,678.0
14456,1809,478,-3212,16428,-20.0,14.0,8.0,918.0,689.0
14506,2079,530,-3296,16320,-14.0,28.0,4.0,896.0,705.0
14556,2177,522,-3348,16416,-17.0,18.0,-4.0,878.0,719.0
14606,2412,486,-3376,16344,-28.0,7.0,5.0,864.0,734.0
14656,2425,518,-3376,16362,-11.0,6.0,2.0,850.0,746.0
14706,2597,538,-3294,16348,-9.0,1.0,7.0,838.0,752.0
14756,2776,512,-3304,16412,-17.0,2.0,7.0,829.0,758.0
14806,2767,484,-3340,16286,-13.0,-3.0,11.0,822.0,765.0
14856,2967,456,-3370,16352,-12.0,6.0,8.0,818.0,773.0
14906,2998,526,-3366,16372,-13.0,-4.0,12.0,811.0,778.0
14956,3065,480,-3400,16360,-16.0,-10.0,13.0,808.0,785.0
15006,3056,454,-3388,16346,-9.0,-9.0,17.0,806.0,790.0
15056,3119,534,-3386,16376,-5.0,-5.0,12.0,801.0,794.0
15106,3144,502,-3376,16378,-11.0,1.0,9.0,798.0,797.0
15156,3225,494,-3412,16382,-10.0,-1.0,5.0,795.0,802.0
15206,3322,512,-3428,16358,-9.0,-4.0,9.0,793.0,806.0
15256,3386,476,-3400,16366,-10.0,-2.0,8.0,792.0,809.0
15306,3453,460,-3370,16370,-9.0,-5.0,6.0,792.0,809.0
15356,3466,506,-3412,16370,-8.0,-4.0,4.0,790.0,812.0
15406,3500,472,-3402,16368,-8.0,0.0,2.0,790.0,814.0
15456,3547,504,-3394,16380,-8.0,-3.0,7.0,789.0,815.0
15506,3615,470,-3408,16382,-8.0,-3.0,4.0,789.0,816.0
15556,3649,526,-3456,16332,-9.0,-5.0,9.0,787.0,820.0
15606,3663,474,-3318,16376,-4.0,-3.0,7.0,787.0,817.0
15656,3654,488,-3402,16344,-11.0,-7.0,11.0,787.0,818.0
15706,3576,492,-3422,16342,-8.0,-10.0,9.0,786.0,820.0
15756,3581,486,-3380,16370,-2.0,-6.0,8.0,786.0,819.0
15806,3575,534,-3364,16382,-8.0,-3.0,9.0,784.0,818.0
15856,3680,484,-3400,16344,-7.0,-4.0,10.0,784.0,819.0
15906,3646,502,-3366,16396,-12.0,-3.0,7.0,783.0,818.0
15956,3702,476,-3430,16336,-11.0,-5.0,8.0,784.0,820.0
16006,3730,486,-3362,16374,-11.0,-5.0,9.0,785.0,819.0
16056,3778,530,-3432,16376,-11.0,-5.0,6.0,782.0,821.0
16106,3872,516,-3436,16340,-14.0,-3.0,6.0,781.0,823.0
16156,3875,478,-3408,16372,-7.0,-4.0,12.0,782.0,823.0
16206,3913,518,-3388,16344,-11.0,-2.0,7.0,781.0,823.0
16256,3930,520,-3436,16360,-7.0,-4.0,6.0,780.0,825.0
16306,3963,532,-3432,16362,-8.0,-6.0,7.0,779.0,826.0
16356,4041,496,-3496,16354,-12.0,-5.0,7.0,779.0,831.0
16406,4078,498,-3418,16348,-14.0,-7.0,4.0,780.0,831.0
16456,4010,506,-3460,16382,-5.0,-6.0,7.0,779.0,832.0
16506,4026,512,-3432,16346,-3.0,-3.0,10.0,779.0,833.0
16556,4040,506,-3438,16368,-9.0,-3.0,2.0,779.0,833.0
16606,4088,482,-3416,16344,-9.0,-2.0,7.0,780.0,833.0
16656,4163,512,-3454,16374,-10.0,-5.0,8.0,780.0,834.0
16706,4193,514,-3402,16374,-15.0,-3.0,7.0,779.0,832.0
16756,4259,496,-3398,16354,-20.0,-1.0,11.0,780.0,831.0
16806,4305,470,-3482,16346,-18.0,-3.0,7.0,781.0,834.0
16856,4346,526,-3488,16340,-18.0,1.0,7.0,780.0,837.0
16906,4132,558,-3568,16322,-16.0,1.0,7.0,777.0,844.0
16956,4101,516,-3620,16378,12.0,-11.0,5.0,777.0,852.0
17006,4476,468,-3406,16288,-37.0,26.0,-4.0,779.0,848.0
17056,5055,696,-3068,15668,-21.0,-243.0,-106.0,768.0,835.0
17106,9446,1074,-3298,15818,-215.0,-368.0,-88.0,738.0,833.0
17156,14347,1058,-3562,17678,411.0,-337.0,-171.0,736.0,832.0
17206,17453,1792,-3434,17040,409.0,-35.0,82.0,728.0,831.0
17256,19043,2500,-2806,17054,896.0,-146.0,69.0,716.0,826.0
17306,20664,528,-1710,17342,1030.0,246.0,20.0,718.0,814.0
17356,21390,978,920,18352,895.0,295.0,-35.0,716.0,785.0
17406,21746,58,-1214,17758,945.0,377.0,12.0,721.0,770.0
17456,21917,960,1352,17284,767.0,730.0,-85.0,719.0,739.0
17506,22044,-314,492,16874,933.0,764.0,-101.0,770.0,550.0
17556,22108,-36,1388,16824,1049.0,999.0,-43.0,799.0,345.0
17606,22233,-1900,4246,16662,1115.0,1044.0,-27.0,815.0,302.0
17656,22324,-4166,2312,16254,1345.0,930.0,-4.0,1049.0,87.0
17706,22377,-3056,5454,15958,1132.0,1173.0,-125.0,1189.0,-256.0
17756,22404,-4384,6938,14228,1106.0,1468.0,-34.0,1385.0,-645.0
17806,22431,-5274,6336,14172,1214.0,1093.0,24.0,1602.0,-942.0
17856,22434,-6152,7022,13264,1060.0,1102.0,-20.0,1839.0,-1237.0
17906,22384,-6210,7140,12146,1241.0,1091.0,13.0,1869.0,-1275.0
17956,22348,-7286,8904,10676,941.0,1425.0,-102.0,2146.0,-1655.0
18006,22229,-8062,9688,10372,1077.0,1020.0,-40.0,2411.0,-2005.0
18056,22224,-9744,9268,9354,953.0,793.0,125.0,2740.0,-2273.0
18106,22253,-9694,10146,8006,728.0,773.0,60.0,3025.0,-2568.0
18156,22283,-9244,10482,6916,634.0,658.0,99.0,3259.0,-2869.0
18206,22385,-9762,10578,6644,480.0,547.0,52.0,3483.0,-3119.0
18256,22456,-10102,11060,6158,459.0,371.0,-9.0,3682.0,-3349.0
18306,22524,-9464,11898,5118,364.0,331.0,93.0,3815.0,-3617.0
18356,22624,-10064,11592,5804,392.0,106.0,60.0,3953.0,-3801.0
18406,22695,-10996,11672,4588,89.0,89.0,8.0,4122.0,-3950.0
18456,22718,-9912,11604,5288,11.0,19.0,-47.0,4214.0,-4098.0
18506,22676,-10132,11736,5038,-54.0,-87.0,30.0,4301.0,-4227.0
18556,22652,-9820,11334,6318,-31.0,-126.0,31.0,4356.0,-4307.0
18606,22656,-11346,11044,4962,-76.0,-52.0,3.0,4492.0,-4339.0
18656,22690,-9724,11822,5856,-69.0,-28.0,-34.0,4507.0,-4433.0
18706,22677,-10576,11384,5588,-62.0,-99.0,18.0,4571.0,-4474.0
18756,22676,-10322,11416,6400,-21.0,-128.0,12.0,4602.0,-4504.0
18806,22684,-11136,11056,5578,-46.0,-27.0,24.0,4684.0,-4505.0
18856,22663,-9528,11746,5838,-53.0,50.0,41.0,4664.0,-4578.0
18906,22687,-9796,11496,6058,45.0,-110.0,39.0,4663.0,-4618.0
18956,22729,-10076,11500,6196,-3.0,-86.0,56.0,4671.0,-4640.0
19007,22765,-10322,11010,6330,75.0,-141.0,32.0,4700.0,-4631.0
19056,22788,-9838,11856,6296,-4.0,-90.0,21.0,4681.0,-4670.0
19106,22813,-10548,11472,6002,-52.0,-6.0,11.0,4709.0,-4673.0
19156,22815,-10054,11548,6398,-65.0,-15.0,-14.0,4705.0,-4686.0
19206,22797,-11104,11476,5854,-146.0,-54.0,-24.0,4754.0,-4672.0
19256,22696,-11222,11966,5472,-299.0,-225.0,-80.0,4758.0,-4673.0
19306,22605,-10632,11164,7034,-438.0,-309.0,-145.0,4770.0,-4642.0
19356,22605,-10152,11890,7048,-395.0,-524.0,-54.0,4742.0,-4657.0
19406,22572,-11518,11144,7034,-712.0,-659.0,-163.0,4749.0,-4650.0
19456,22171,-9158,10844,8164,-862.0,-831.0,-129.0,4689.0,-4627.0
19506,21819,-9472,7786,10498,-723.0,-910.0,-107.0,4668.0,-4418.0
19556,21170,-9144,9766,9232,-1131.0,-772.0,-259.0,4624.0,-4361.0
19606,20532,-7688,7174,11038,-1058.0,-872.0,-218.0,4611.0,-4337.0
19656,19660,-8496,7156,12074,-1149.0,-1335.0,-174.0,4530.0,-4127.0
19706,17546,-4922,8234,13350,-1002.0,-1366.0,223.0,4255.0,-4011.0
19756,15488,-6940,7198,13474,-1804.0,-868.0,-154.0,4126.0,-3843.0
19806,11573,-5246,878,14948,-1295.0,-1166.0,141.0,3939.0,-3366.0
19856,9435,-4266,3162,14464,-1247.0,-1266.0,370.0,3912.0,-3330.0
19906,8017,-2744,1442,15686,-1027.0,-1096.0,290.0,3616.0,-2960.0
19956,6257,-2024,2392,16600,-969.0,-821.0,164.0,3320.0,-2691.0
20006,4550,-1920,770,16630,-1085.0,-589.0,-18.0,3063.0,-2379.0
20056,3003,-1860,314,17056,-1035.0,-531.0,16.0,2840.0,-2090.0
20106,2185,-946,-1212,16830,-1016.0,-521.0,18.0,2605.0,-1767.0
20156,1842,-394,-1832,16056,-821.0,-468.0,26.0,2378.0,-1457.0
20206,2048,-188,-2560,16058,-767.0,-335.0,56.0,2174.0,-1155.0
20256,2119,-352,-3474,15666,-526.0,-393.0,42.0,2010.0,-847.0
20306,2039,370,-3348,16476,-387.0,-428.0,0.0,1832.0,-600.0
20356,2075,678,-3270,16352,-474.0,-298.0,15.0,1665.0,-393.0
20406,2314,516,-4190,16396,-485.0,-262.0,23.0,1532.0,-171.0
20456,2400,970,-4744,16626,-400.0,-343.0,5.0,1514.0,-143.0
20506,2253,1186,-4566,16486,-314.0,-398.0,73.0,1370.0,57.0
20556,2540,1484,-5192,16082,-304.0,-374.0,100.0,1232.0,263.0
20606,2864,2774,-5308,19310,371.0,266.0,160.0,1231.0,264.0
20656,2677,1576,-5198,16726,100.0,205.0,-41.0,1215.0,286.0
20706,2802,1082,-4570,15578,202.0,290.0,-35.0,1119.0,435.0
20756,2702,1356,-4318,17008,268.0,423.0,5.0,1107.0,448.0
20806,2536,-552,-4190,16978,374.0,169.0,-25.0,1107.0,460.0
20856,2153,860,-3764,16504,417.0,-223.0,-8.0,1040.0,531.0
20906,2228,1240,-3076,16684,147.0,54.0,0.0,964.0,555.0
20956,2508,728,-3454,16500,70.0,44.0,15.0,925.0,596.0
21006,2783,862,-3278,16452,52.0,57.0,-55.0,885.0,623.0
21056,3028,634,-3270,16450,58.0,33.0,-14.0,863.0,646.0
21106,3094,780,-3150,16474,25.0,16.0,0.0,836.0,659.0
21156,3185,674,-3252,16452,26.0,18.0,-10.0,819.0,675.0
21206,3349,644,-3142,16432,1.0,9.0,-2.0,806.0,683.0
21256,3484,542,-3148,16434,-6.0,7.0,-1.0,800.0,691.0
21306,3478,672,-3234,16414,1.0,-4.0,7.0,789.0,702.0
21356,3647,584,-3148,16426,-4.0,-2.0,4.0,783.0,707.0
21406,3565,640,-3058,16462,8.0,-2.0,4.0,776.0,706.0
21456,3600,622,-3132,16446,-10.0,1.0,9.0,770.0,709.0
21506,3728,596,-3044,16464,-8.0,-2.0,9.0,767.0,707.0
21556,3976,592,-3084,16442,-13.0,-2.0,5.0,764.0,708.0
21606,4071,568,-3176,16440,-13.0,0.0,4.0,763.0,713.0
