ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100,label
22208,4603,-2276,-2102,15936,-6,-95,191,657.0,565.0,0
22258,1992,-2118,-2278,16656,-247,126,66,664.0,567.0,0
22308,1238,-2102,-3016,16380,-228,203,91,671.0,608.0,0
22358,1420,-2314,-2882,15816,84,84,16,691.0,641.0,0
22408,1487,-2720,-3578,15666,121,-174,-54,730.0,706.0,0
22458,1565,-2116,-2066,15576,113,20,-98,734.0,683.0,0
22508,1871,-1330,-2568,15260,141,-102,-239,729.0,685.0,0
22558,5078,-2358,-1960,16020,144,-107,-195,743.0,656.0,0
22608,6595,-1620,-2088,16792,181,-191,-162,712.0,635.0,0
22658,7605,-1246,-1726,16394,217,-83,-156,668.0,600.0,0
22708,9221,-1564,-2348,16634,300,-92,-117,646.0,601.0,0
22758,10283,-1688,-1838,16518,382,91,-143,634.0,577.0,0
22808,10902,-2108,-1468,16774,497,-13,-95,645.0,535.0,0
22858,11168,-1566,-894,17178,366,-116,-50,642.0,527.0,0
22908,11457,-1502,-424,16916,293,-2,-48,620.0,440.0,0
22958,11894,-1448,-726,16866,225,72,-45,599.0,382.0,0
23008,12591,-1724,-130,16574,208,98,3,596.0,302.0,0
23058,13231,-1698,-154,16770,35,91,-33,,,0
